Entity,Year,Total government spending percapita (per capita USD PPP),Deaths,Over
India,2015,1700.78,36422.51776754038,False
India,2016,1845.76,38542.31324450874,False
Indonesia,2009,1352.4301,1282.6143707137485,False
Indonesia,2010,1423.97,1324.2315554847148,False
Indonesia,2011,1589.49,1346.2034481568612,False
Indonesia,2012,1799.64,1371.679148310358,False
Indonesia,2013,1928.8101,1413.63553679246,False
Indonesia,2014,1983.64,1466.9860229137187,False
Indonesia,2015,1936.89,1518.6566015901494,False
Indonesia,2016,1966.52,1543.8448415756666,False
Ireland,2009,19567.0,314.2186133399324,True
Ireland,2010,28213.51,291.3798511059334,True
Ireland,2011,20915.189,299.0653151059543,True
Ireland,2012,19486.49,293.8987515810494,True
Ireland,2013,19238.48,285.876139172872,True
Ireland,2014,19413.42,277.77628156146557,True
Ireland,2015,20232.369,274.2085517731364,True
Ireland,2016,20009.529,272.5281661618471,True
Israel,2009,11605.5,117.29253923856979,False
Israel,2010,11877.98,112.41273174234456,False
Israel,2011,12355.54,111.4946112736283,False
Israel,2012,13159.01,111.07675313090023,False
Israel,2013,14029.2,114.14454211345287,False
Israel,2014,14213.53,113.28999203044962,False
Israel,2015,14498.76,117.16220134129492,False
Italy,2009,17531.619,1194.003689792621,True
Italy,2010,17337.82,1159.9581759474809,True
Italy,2011,17744.561,1159.253056974794,True
Italy,2012,18149.84,1162.5996493894288,True
Italy,2013,18316.33,1150.3504251249808,True
Italy,2014,18473.0,1130.0558550279704,True
Italy,2015,18795.471,1159.2432449695493,True
Italy,2016,18825.051,1126.3477485833523,True
Japan,2009,13470.42,1428.8321817614008,False
Japan,2010,13908.85,1463.6195199337335,False
Japan,2011,14538.37,1521.4136518321316,False
Japan,2012,15114.0,1528.1136798862676,False
Japan,2013,15900.65,1570.36602820701,True
Japan,2014,15859.71,1707.7399705064954,True
Japan,2015,16037.35,1728.5901708414958,True
Latvia,2009,7385.6401,381.5382417409795,False
Latvia,2010,7921.7202,367.3139832268921,False
Latvia,2011,7711.3599,351.19323123047764,False
Latvia,2012,7927.54,348.9923239692258,False
Latvia,2013,8376.4697,349.25736712177115,False
Latvia,2014,8952.1104,346.02670289378665,False
Latvia,2015,9222.9502,347.78943735606083,False
Latvia,2016,9362.7002,347.2952107732234,False
Lithuania,2009,8153.75,595.4894827912256,False
Lithuania,2010,8514.6699,571.9775326800764,False
Lithuania,2011,9706.8701,548.1800995285193,False
Lithuania,2012,8902.1299,531.6121997871273,False
Lithuania,2013,9493.2695,527.5652455661279,False
Lithuania,2014,9792.0,502.1210878507619,False
Lithuania,2015,10154.72,496.7051334749619,False
Lithuania,2016,10497.83,483.992092656773,False
Luxembourg,2009,37148.73,35.55046685353834,True
Luxembourg,2010,37807.102,35.82543167027048,True
Luxembourg,2011,38897.98,36.96866346015487,True
Luxembourg,2012,40335.68,37.76412827545685,True
Luxembourg,2013,41274.578,38.79544965979889,True
Luxembourg,2014,42387.801,40.47098201259495,True
Luxembourg,2015,43009.789000000004,42.4374073338593,True
Luxembourg,2016,44555.949,44.2695151576727,True
Mexico,2009,3380.8401,5337.53392269641,False
Mexico,2010,3577.53,5284.648173087635,False
Mexico,2011,3879.8799,5216.558461133527,False
Mexico,2012,4151.5498,5215.2767843857055,False
Mexico,2013,4183.6602,5226.976951763465,False
Mexico,2014,4436.1899,5406.596801840984,False
Mexico,2015,4390.5601,5559.66438062276,False
Netherlands,2009,21244.73,530.0183849530509,True
Netherlands,2010,21474.721,537.1582627205163,True
Netherlands,2011,21639.48,563.3771915071304,True
Netherlands,2012,22002.49,601.2092077006386,True
Netherlands,2013,22524.551,653.9864557383079,True
Netherlands,2014,22638.439,681.3570893669108,True
Netherlands,2015,22474.43,735.0148764259809,True
Netherlands,2016,22313.23,774.2586778723751,True
New Zealand,2009,12821.97,118.52009822141217,False
New Zealand,2010,14880.11,120.98705431488943,False
New Zealand,2011,14287.9,123.42294006308752,False
New Zealand,2012,13913.79,124.38692168696984,False
New Zealand,2013,14524.35,123.87501841966544,False
New Zealand,2014,14746.21,128.24742782537476,False
New Zealand,2015,14890.52,130.1220491477856,False
Norway,2009,25558.99,531.3375717441323,True
Norway,2010,26103.42,531.6565343021831,True
Norway,2011,27192.09,534.9419673182806,True
Norway,2012,28067.189,510.7010546841657,True
Norway,2013,29480.07,524.8223728034666,True
Norway,2014,30124.039,509.1137597204171,True
Norway,2015,30263.07,497.73992409121854,True
Norway,2016,32284.32,515.4968432180602,True
Poland,2009,8656.9805,4752.069934487475,False
Poland,2010,9541.4102,4670.849122682574,False
Poland,2011,9904.8203,4727.715840108294,False
Poland,2012,10084.92,4760.407067312022,False
Poland,2013,10401.02,4678.412687902245,False
Poland,2014,10729.85,4547.250024542227,False
Poland,2015,11025.77,4760.344202869592,False
Poland,2016,11375.97,4768.06331152392,False
Portugal,2009,13307.36,485.67902678139194,False
